Bandera Gray		Buffalo Berea		Gray Berea		
PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	PV	Rate_Pulses, 1/s	
6.25E+01	1.05E+04	4.91E+01	1.13E+04	9.51E+01	2.17E+04	
6.28E+01	1.06E+04	4.93E+01	1.13E+04	9.55E+01	2.16E+04	
6.31E+01	1.06E+04	4.96E+01	1.12E+04	9.59E+01	2.15E+04	
6.34E+01	1.07E+04	4.98E+01	1.10E+04	9.63E+01	2.17E+04	
6.36E+01	1.07E+04	5.01E+01	1.10E+04	9.67E+01	2.17E+04	
6.39E+01	1.07E+04	5.03E+01	1.09E+04	9.70E+01	2.18E+04	
6.42E+01	1.07E+04	5.06E+01	1.09E+04	9.74E+01	2.17E+04	
6.45E+01	1.07E+04	5.08E+01	1.08E+04	9.78E+01	2.18E+04	
6.48E+01	1.07E+04	5.10E+01	1.07E+04	9.82E+01	2.18E+04	
6.51E+01	1.08E+04	5.13E+01	1.06E+04	9.86E+01	2.18E+04	
6.54E+01	1.09E+04	5.15E+01	1.06E+04	9.90E+01	2.19E+04	
6.57E+01	1.09E+04	5.18E+01	1.06E+04	9.94E+01	2.18E+04	
6.60E+01	1.09E+04	5.20E+01	1.06E+04	9.97E+01	2.19E+04	
6.63E+01	1.09E+04	5.23E+01	1.07E+04	1.00E+02	2.18E+04	
6.65E+01	1.09E+04	5.25E+01	1.07E+04	1.01E+02	2.18E+04	
6.68E+01	1.10E+04	5.27E+01	1.07E+04	1.01E+02	2.18E+04	
6.71E+01	1.10E+04	5.30E+01	1.07E+04	1.01E+02	2.18E+04	
6.74E+01	1.11E+04	5.32E+01	1.08E+04	1.02E+02	2.18E+04	
6.77E+01	1.11E+04	5.35E+01	1.07E+04	1.02E+02	2.16E+04	
6.80E+01	1.10E+04	5.37E+01	1.07E+04	1.02E+02	2.17E+04	
6.83E+01	1.10E+04	5.40E+01	1.07E+04	1.03E+02	2.17E+04	
6.86E+01	1.10E+04	5.42E+01	1.07E+04	1.03E+02	2.18E+04	
6.89E+01	1.10E+04	5.44E+01	1.07E+04	1.04E+02	2.20E+04	
6.91E+01	1.10E+04	5.47E+01	1.06E+04	1.04E+02	2.20E+04	
6.94E+01	1.10E+04	5.49E+01	1.06E+04	1.04E+02	2.20E+04	
6.97E+01	1.09E+04	5.52E+01	1.06E+04	1.05E+02	2.20E+04	
7.00E+01	1.08E+04	5.54E+01	1.05E+04	1.05E+02	2.21E+04	
7.03E+01	1.08E+04	5.56E+01	1.05E+04	1.06E+02	2.20E+04	
7.06E+01	1.08E+04	5.59E+01	1.05E+04	1.06E+02	2.21E+04	
7.09E+01	1.08E+04	5.61E+01	1.05E+04	1.06E+02	2.21E+04	
7.12E+01	1.08E+04	5.64E+01	1.06E+04	1.07E+02	2.20E+04	
7.15E+01	1.07E+04	5.66E+01	1.06E+04	1.07E+02	2.19E+04	
7.18E+01	1.06E+04	5.69E+01	1.06E+04	1.07E+02	2.19E+04	
7.20E+01	1.06E+04	5.71E+01	1.05E+04	1.08E+02	2.20E+04	
7.23E+01	1.06E+04	5.73E+01	1.04E+04	1.08E+02	2.20E+04	
7.26E+01	1.06E+04	5.76E+01	1.04E+04	1.09E+02	2.20E+04	
7.29E+01	1.07E+04	5.78E+01	1.03E+04	1.09E+02	2.20E+04	
7.32E+01	1.07E+04	5.81E+01	1.03E+04	1.09E+02	2.20E+04	
7.35E+01	1.07E+04	5.83E+01	1.03E+04	1.10E+02	2.19E+04	
7.38E+01	1.08E+04	5.86E+01	1.03E+04	1.10E+02	2.18E+04	
7.41E+01	1.08E+04	5.88E+01	1.03E+04	1.11E+02	2.17E+04	
7.44E+01	1.08E+04	5.90E+01	1.03E+04	1.11E+02	2.14E+04	
7.46E+01	1.09E+04	5.93E+01	1.03E+04	1.11E+02	2.14E+04	
7.49E+01	1.09E+04	5.95E+01	1.02E+04	1.12E+02	2.14E+04	
7.52E+01	1.10E+04	5.98E+01	1.02E+04	1.12E+02	2.15E+04	
7.55E+01	1.10E+04	6.00E+01	1.02E+04	1.12E+02	2.15E+04	
7.58E+01	1.11E+04	6.03E+01	1.01E+04	1.13E+02	2.15E+04	
7.61E+01	1.12E+04	6.05E+01	1.01E+04	1.13E+02	2.15E+04	
7.64E+01	1.12E+04	6.07E+01	1.00E+04	1.14E+02	2.15E+04	
7.67E+01	1.13E+04	6.10E+01	1.00E+04	1.14E+02	2.15E+04	
7.70E+01	1.13E+04	6.12E+01	1.01E+04	1.14E+02	2.14E+04	
7.72E+01	1.14E+04	6.15E+01	1.00E+04	1.15E+02	2.15E+04	
7.75E+01	1.14E+04	6.17E+01	1.00E+04	1.15E+02	2.16E+04	
7.78E+01	1.13E+04	6.19E+01	1.00E+04	1.16E+02	2.16E+04	
7.81E+01	1.14E+04	6.22E+01	1.00E+04	1.16E+02	2.16E+04	
7.84E+01	1.14E+04	6.24E+01	9.97E+03	1.16E+02	2.17E+04	
7.87E+01	1.15E+04	6.27E+01	9.96E+03	1.17E+02	2.17E+04	
7.90E+01	1.16E+04	6.29E+01	9.92E+03	1.17E+02	2.16E+04	
7.93E+01	1.16E+04	6.32E+01	9.92E+03	1.17E+02	2.15E+04	
7.96E+01	1.16E+04	6.34E+01	9.94E+03	1.18E+02	2.14E+04	
7.98E+01	1.17E+04	6.36E+01	1.00E+04	1.18E+02	2.13E+04	
8.01E+01	1.18E+04	6.39E+01	1.01E+04	1.19E+02	2.11E+04	
8.04E+01	1.20E+04	6.41E+01	1.01E+04	1.19E+02	2.10E+04	
8.07E+01	1.21E+04	6.44E+01	9.98E+03	1.19E+02	2.10E+04	
8.10E+01	1.23E+04	6.46E+01	9.91E+03	1.20E+02	2.10E+04	
8.13E+01	1.25E+04	6.49E+01	9.92E+03	1.20E+02	2.09E+04	
8.16E+01	1.27E+04	6.51E+01	9.78E+03	1.21E+02	2.09E+04	
8.19E+01	1.28E+04	6.53E+01	9.73E+03	1.21E+02	2.08E+04	
8.22E+01	1.30E+04	6.56E+01	9.69E+03	1.21E+02	2.07E+04	
8.24E+01	1.32E+04	6.58E+01	9.68E+03	1.22E+02	2.06E+04	
8.27E+01	1.32E+04	6.61E+01	9.55E+03	1.22E+02	2.06E+04	
8.30E+01	1.33E+04	6.63E+01	9.47E+03	1.22E+02	2.06E+04	
8.33E+01	1.34E+04	6.66E+01	9.34E+03	1.23E+02	2.04E+04	
8.36E+01	1.35E+04	6.68E+01	9.26E+03	1.23E+02	2.03E+04	
8.39E+01	1.36E+04	6.70E+01	9.20E+03	1.24E+02	2.03E+04	
8.42E+01	1.38E+04	6.73E+01	9.13E+03	1.24E+02	2.02E+04	
8.45E+01	1.38E+04	6.75E+01	9.00E+03	1.24E+02	2.01E+04	
8.47E+01	1.38E+04	6.78E+01	8.86E+03	1.25E+02	2.01E+04	
8.50E+01	1.39E+04	6.80E+01	8.74E+03	1.25E+02	2.01E+04	
8.53E+01	1.40E+04	6.82E+01	8.64E+03	1.25E+02	1.99E+04	
8.56E+01	1.40E+04	6.85E+01	8.65E+03	1.26E+02	1.99E+04	
8.59E+01	1.42E+04	6.87E+01	8.60E+03	1.26E+02	1.99E+04	
8.62E+01	1.44E+04	6.90E+01	8.52E+03	1.27E+02	2.00E+04	
8.65E+01	1.46E+04	6.92E+01	8.49E+03	1.27E+02	1.99E+04	
8.68E+01	1.46E+04	6.95E+01	8.49E+03	1.27E+02	1.98E+04	
8.71E+01	1.47E+04	6.97E+01	8.43E+03	1.28E+02	1.97E+04	
8.73E+01	1.49E+04	6.99E+01	8.35E+03	1.28E+02	1.98E+04	
8.76E+01	1.49E+04	7.02E+01	8.38E+03	1.29E+02	1.98E+04	
8.79E+01	1.48E+04	7.04E+01	8.32E+03	1.29E+02	1.98E+04	
8.82E+01	1.49E+04	7.07E+01	8.35E+03	1.29E+02	1.98E+04	
8.85E+01	1.49E+04	7.09E+01	8.36E+03	1.30E+02	1.98E+04	
8.88E+01	1.49E+04	7.12E+01	8.42E+03	1.30E+02	1.97E+04	
8.91E+01	1.49E+04	7.14E+01	8.48E+03	1.30E+02	1.97E+04	
8.94E+01	1.48E+04	7.16E+01	8.47E+03	1.31E+02	1.97E+04	
8.97E+01	1.48E+04	7.19E+01	8.55E+03	1.31E+02	1.98E+04	
8.99E+01	1.47E+04	7.21E+01	8.61E+03	1.32E+02	1.98E+04	
9.02E+01	1.47E+04	7.24E+01	8.71E+03	1.32E+02	1.97E+04	
9.05E+01	1.46E+04	7.26E+01	8.81E+03	1.32E+02	1.98E+04	
9.08E+01	1.44E+04	7.28E+01	8.87E+03	1.33E+02	1.98E+04	
9.11E+01	1.43E+04	7.31E+01	9.04E+03	1.33E+02	1.98E+04	
9.14E+01	1.41E+04	7.33E+01	9.11E+03	1.34E+02	1.97E+04	
9.17E+01	1.40E+04	7.36E+01	9.08E+03	1.34E+02	1.98E+04	
9.20E+01	1.37E+04	7.38E+01	9.10E+03	1.34E+02	1.98E+04	
9.22E+01	1.37E+04	7.41E+01	9.08E+03	1.35E+02	1.98E+04	
9.25E+01	1.36E+04	7.43E+01	9.13E+03	1.35E+02	1.98E+04	
9.28E+01	1.35E+04	7.45E+01	9.14E+03	1.35E+02	1.96E+04	
9.31E+01	1.35E+04	7.48E+01	9.14E+03	1.36E+02	1.95E+04	
9.34E+01	1.34E+04	7.50E+01	9.14E+03	1.36E+02	1.92E+04	
9.37E+01	1.33E+04	7.53E+01	9.16E+03	1.37E+02	1.92E+04	
9.40E+01	1.33E+04	7.55E+01	9.22E+03	1.37E+02	1.91E+04	
9.43E+01	1.34E+04	7.58E+01	9.25E+03	1.37E+02	1.91E+04	
9.45E+01	1.34E+04	7.60E+01	9.16E+03	1.38E+02	1.90E+04	
9.48E+01	1.35E+04	7.62E+01	9.15E+03	1.38E+02	1.90E+04	
9.51E+01	1.35E+04	7.65E+01	9.12E+03	1.38E+02	1.89E+04	
9.54E+01	1.36E+04	7.67E+01	9.14E+03	1.39E+02	1.89E+04	
9.57E+01	1.37E+04	7.70E+01	9.10E+03	1.39E+02	1.88E+04	
9.60E+01	1.37E+04	7.72E+01	9.01E+03	1.40E+02	1.89E+04	
9.63E+01	1.37E+04	7.74E+01	9.02E+03	1.40E+02	1.87E+04	
9.66E+01	1.38E+04	7.77E+01	8.95E+03	1.40E+02	1.87E+04	
9.69E+01	1.39E+04	7.79E+01	8.89E+03	1.41E+02	1.87E+04	
9.71E+01	1.40E+04	7.82E+01	8.82E+03	1.41E+02	1.88E+04	
9.74E+01	1.42E+04	7.84E+01	8.80E+03	1.42E+02	1.88E+04	
9.77E+01	1.44E+04	7.87E+01	8.74E+03	1.42E+02	1.87E+04	
9.80E+01	1.46E+04	7.89E+01	8.70E+03	1.42E+02	1.88E+04	
9.83E+01	1.48E+04	7.91E+01	8.64E+03	1.43E+02	1.89E+04	
9.86E+01	1.49E+04	7.94E+01	8.53E+03	1.43E+02	1.90E+04	
9.89E+01	1.50E+04	7.96E+01	8.49E+03	1.43E+02	1.92E+04	
9.92E+01	1.52E+04	7.99E+01	8.47E+03	1.44E+02	1.93E+04	
9.94E+01	1.54E+04	8.01E+01	8.43E+03	1.44E+02	1.93E+04	
9.97E+01	1.56E+04	8.04E+01	8.47E+03	1.45E+02	1.93E+04	
1.00E+02	1.57E+04	8.06E+01	8.55E+03	1.45E+02	1.96E+04	
1.00E+02	1.58E+04	8.08E+01	8.58E+03	1.45E+02	1.96E+04	
1.01E+02	1.58E+04	8.11E+01	8.58E+03	1.46E+02	1.96E+04	
1.01E+02	1.60E+04	8.13E+01	8.57E+03	1.46E+02	1.96E+04	
1.01E+02	1.60E+04	8.16E+01	8.56E+03	1.46E+02	1.97E+04	
1.01E+02	1.62E+04	8.18E+01	8.57E+03	1.47E+02	1.98E+04	
1.02E+02	1.61E+04	8.20E+01	8.58E+03	1.47E+02	1.99E+04	
1.02E+02	1.61E+04	8.23E+01	8.67E+03	1.48E+02	2.00E+04	
1.02E+02	1.62E+04	8.25E+01	8.62E+03	1.48E+02	2.00E+04	
1.03E+02	1.63E+04	8.28E+01	8.59E+03	1.48E+02	2.00E+04	
1.03E+02	1.62E+04	8.30E+01	8.60E+03	1.49E+02	2.01E+04	
